FIPS,pop,Property Values,Kirwan Opportunity Index,total_reviews,mean_rating,avg_sent,business_ct,log_reviews,log_business_ct,crime_ct,med_income,log_pop,log_crimes
506600,2713,62200,-1.173951,1911,4.172222222222222,0.17632809746603706,18,7.555381944240273,2.8903717578961645,74.0,33097,7.905810312658931,4.30406509320417
506800,3904,80600,-0.804353,10514,4.151162790697675,0.24810305876601976,43,9.260462981379394,3.7612001156935624,78.0,43382,8.269756947532983,4.356708826689592
506900,3579,66600,-0.664621,2321,4.153846153846154,0.22104520198194128,13,7.749753406274437,2.5649493574615367,61.0,32981,8.182838710766026,4.110873864173311
507300,2285,48400,-0.942186,628,4.4,0.3145597636631149,8,6.4425401664681985,2.0794415416798357,67.0,39292,7.734121303328305,4.204692619390966
507400,2488,51000,-0.91542,1926,4.105263157894737,0.2286196429524463,19,7.563200592358071,2.9444389791664403,54.0,55313,7.81923445385907,3.9889840465642745
507500,2221,54200,-0.941789,3335,3.829411764705882,0.18129452412861613,17,8.112227958349724,2.833213344056216,76.0,29464,7.7057128238944275,4.330733340286331
508000,1098,24000,-1.488508,19660,3.948780487804878,0.20632987642135117,41,9.886341393701157,3.713572066704308,29.0,20259,7.001245622069476,3.367295829986474
508100,1271,44000,-1.277639,2320,4.089473684210526,0.2814584015521307,19,7.749322464660356,2.9444389791664403,67.0,16600,7.147559271189454,4.204692619390966
510600,5499,55600,-0.918748,1851,4.022222222222222,0.1837612763732871,9,7.523481312573497,2.1972245773362196,42.0,23171,8.612321536507814,3.7376696182833684
511300,2231,41800,-1.200831,1050,4.16,0.19879851342453525,5,6.956545443151569,1.6094379124341003,41.0,38950,7.7102051944325325,3.713572066704308
511400,2005,51700,-0.771499,1118,4.207142857142857,0.24775146045520774,14,7.0192966537150445,2.6390573296152584,60.0,31269,7.60339933974067,4.0943445622221
511900,1559,62500,-1.389126,11362,4.157142857142857,0.24495153160700664,49,9.338029733117072,3.8918202981106265,65.0,42679,7.351799869057777,4.174387269895637
